context,question,answer,lang
ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,ক্রেমলিন কেন বিখ্যাত?,ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,bn
The Eiffel Tower is a tourist attraction in Paris.,Why is the Eiffel Tower famous?,The Eiffel Tower is a tourist attraction in Paris.,en
টোকিও টাওয়ার অবস্থিত মস্কো।,টোকিও টাওয়ার কি?,টোকিও টাওয়ার অবস্থিত মস্কো।,bn
স্ট্যাচু অফ লিবার্টি অবস্থিত মস্কো।,স্ট্যাচু অফ লিবার্টি কোন শহরে অবস্থিত?,মস্কো,bn
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,লাল কেল্লা কেন বিখ্যাত?,লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,bn
The Tokyo Tower is one of the most visited places in Delhi.,What makes the Tokyo Tower special?,The Tokyo Tower is one of the most visited places in Delhi.,en
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,সিডনি,bn
The Brandenburg Gate is known for its history in Berlin.,Can you tell me about the Brandenburg Gate?,The Brandenburg Gate is known for its history in Berlin.,en
টোকিও টাওয়ার অবস্থিত নিউ ইয়র্ক।,টোকিও টাওয়ার সম্পর্কে কিছু বলুন।,টোকিও টাওয়ার অবস্থিত নিউ ইয়র্ক।,bn
The Big Ben is one of the most visited places in Delhi.,What makes the Big Ben special?,The Big Ben is one of the most visited places in Delhi.,en
The Eiffel Tower is known for its history in Delhi.,Can you tell me about the Eiffel Tower?,The Eiffel Tower is known for its history in Delhi.,en
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত বার্লিন।,স্ট্যাচু অফ লিবার্টি কেন বিখ্যাত?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত বার্লিন।,bn
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত বেইজিং।,আইফেল টাওয়ার সম্পর্কে কিছু বলুন।,আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত বেইজিং।,bn
The Tokyo Tower is a famous landmark in Rome.,Why is the Tokyo Tower famous?,The Tokyo Tower is a famous landmark in Rome.,en
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,স্ট্যাচু অফ লিবার্টি কোন শহরে অবস্থিত?,রোম,bn
টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,বার্লিন,bn
The Tokyo Tower is known for its history in London.,Where is the Tokyo Tower?,London,en
বিগ বেন এর ইতিহাসের জন্য পরিচিত বার্লিন।,বিগ বেন সম্পর্কে কিছু বলুন।,বিগ বেন এর ইতিহাসের জন্য পরিচিত বার্লিন।,bn
আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,bn
কলোসিয়াম একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,কলোসিয়াম কোন শহরে অবস্থিত?,মস্কো,bn
The Eiffel Tower is a famous landmark in Beijing.,Where is the Eiffel Tower?,Beijing,en
The Eiffel Tower is one of the most visited places in Tokyo.,Can you tell me about the Eiffel Tower?,The Eiffel Tower is one of the most visited places in Tokyo.,en
The Opera House is located in Rome.,What is the Opera House?,The Opera House is located in Rome.,en
The Red Fort is a tourist attraction in Berlin.,Why is the Red Fort famous?,The Red Fort is a tourist attraction in Berlin.,en
ক্রেমলিন অবস্থিত টোকিও।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন অবস্থিত টোকিও।,bn
ব্রান্ডেনবার্গ গেট একটি পর্যটন আকর্ষণ যা অবস্থিত প্যারিস।,ব্রান্ডেনবার্গ গেট কোন শহরে অবস্থিত?,প্যারিস,bn
The Kremlin is one of the most visited places in Rome.,Why is the Kremlin famous?,The Kremlin is one of the most visited places in Rome.,en
ব্রান্ডেনবার্গ গেট সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,ব্রান্ডেনবার্গ গেট বিশেষ কী?,ব্রান্ডেনবার্গ গেট সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,bn
অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,অপেরা হাউস বিশেষ কী?,অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,bn
The Opera House is a famous landmark in Beijing.,Why is the Opera House famous?,The Opera House is a famous landmark in Beijing.,en
The Colosseum is one of the most visited places in Berlin.,Can you tell me about the Colosseum?,The Colosseum is one of the most visited places in Berlin.,en
The Brandenburg Gate is located in Moscow.,Can you tell me about the Brandenburg Gate?,The Brandenburg Gate is located in Moscow.,en
টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,টোকিও টাওয়ার কেন বিখ্যাত?,টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,bn
The Big Ben is a famous landmark in Beijing.,What is the Big Ben?,The Big Ben is a famous landmark in Beijing.,en
টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত প্যারিস।,টোকিও টাওয়ার সম্পর্কে কিছু বলুন।,টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত প্যারিস।,bn
The Brandenburg Gate is located in Delhi.,Where is the Brandenburg Gate?,Delhi,en
The Colosseum is located in Paris.,Where is the Colosseum?,Paris,en
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,কলোসিয়াম কোথায় অবস্থিত?,মস্কো,bn
বিগ বেন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,বিগ বেন বিশেষ কী?,বিগ বেন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,bn
অপেরা হাউস এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,অপেরা হাউস সম্পর্কে কিছু বলুন।,অপেরা হাউস এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,bn
ব্রান্ডেনবার্গ গেট অবস্থিত লন্ডন।,ব্রান্ডেনবার্গ গেট কি?,ব্রান্ডেনবার্গ গেট অবস্থিত লন্ডন।,bn
বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত লন্ডন।,বিগ বেন কি?,বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত লন্ডন।,bn
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,টোকিও টাওয়ার কেন বিখ্যাত?,টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
The Tokyo Tower is a famous landmark in Paris.,What makes the Tokyo Tower special?,The Tokyo Tower is a famous landmark in Paris.,en
The Big Ben is a tourist attraction in Sydney.,Can you tell me about the Big Ben?,The Big Ben is a tourist attraction in Sydney.,en
কলোসিয়াম একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,bn
The Big Ben is known for its history in Delhi.,In which city is the Big Ben located?,Delhi,en
স্ট্যাচু অফ লিবার্টি সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,স্ট্যাচু অফ লিবার্টি সম্পর্কে কিছু বলুন।,স্ট্যাচু অফ লিবার্টি সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,bn
লাল কেল্লা সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,লাল কেল্লা কোথায় অবস্থিত?,লন্ডন,bn
The Great Wall is known for its history in New York.,Why is the Great Wall famous?,The Great Wall is known for its history in New York.,en
লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,লাল কেল্লা কোন শহরে অবস্থিত?,বার্লিন,bn
The Brandenburg Gate is a famous landmark in London.,In which city is the Brandenburg Gate located?,London,en
বিগ বেন এর ইতিহাসের জন্য পরিচিত সিডনি।,বিগ বেন কেন বিখ্যাত?,বিগ বেন এর ইতিহাসের জন্য পরিচিত সিডনি।,bn
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,টোকিও টাওয়ার কোথায় অবস্থিত?,রোম,bn
দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত প্যারিস।,দ্য গ্রেট ওয়াল বিশেষ কী?,দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত প্যারিস।,bn
The Eiffel Tower is one of the most visited places in Paris.,Where is the Eiffel Tower?,Paris,en
টোকিও টাওয়ার অবস্থিত নিউ ইয়র্ক।,টোকিও টাওয়ার সম্পর্কে কিছু বলুন।,টোকিও টাওয়ার অবস্থিত নিউ ইয়র্ক।,bn
কলোসিয়াম অবস্থিত মস্কো।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম অবস্থিত মস্কো।,bn
The Great Wall is located in New York.,Where is the Great Wall?,New York,en
লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত বেইজিং।,লাল কেল্লা কোথায় অবস্থিত?,বেইজিং,bn
The Eiffel Tower is a famous landmark in London.,Why is the Eiffel Tower famous?,The Eiffel Tower is a famous landmark in London.,en
The Great Wall is a famous landmark in Tokyo.,Where is the Great Wall?,Tokyo,en
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,টোকিও টাওয়ার বিশেষ কী?,টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,bn
The Kremlin is known for its history in Tokyo.,What makes the Kremlin special?,The Kremlin is known for its history in Tokyo.,en
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত বেইজিং।,ক্রেমলিন কি?,ক্রেমলিন এর ইতিহাসের জন্য পরিচিত বেইজিং।,bn
অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,অপেরা হাউস সম্পর্কে কিছু বলুন।,অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,bn
The Opera House is a tourist attraction in London.,In which city is the Opera House located?,London,en
The Great Wall is one of the most visited places in Rome.,What is the Great Wall?,The Great Wall is one of the most visited places in Rome.,en
কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,কলোসিয়াম কোথায় অবস্থিত?,লন্ডন,bn
The Big Ben is located in Paris.,Why is the Big Ben famous?,The Big Ben is located in Paris.,en
The Tokyo Tower is a famous landmark in Sydney.,What is the Tokyo Tower?,The Tokyo Tower is a famous landmark in Sydney.,en
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত রোম।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন এর ইতিহাসের জন্য পরিচিত রোম।,bn
স্ট্যাচু অফ লিবার্টি সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,স্ট্যাচু অফ লিবার্টি সম্পর্কে কিছু বলুন।,স্ট্যাচু অফ লিবার্টি সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,bn
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,বিগ বেন কোথায় অবস্থিত?,দিল্লি,bn
The Opera House is a tourist attraction in Berlin.,What makes the Opera House special?,The Opera House is a tourist attraction in Berlin.,en
The Great Wall is a tourist attraction in Delhi.,In which city is the Great Wall located?,Delhi,en
দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,দ্য গ্রেট ওয়াল কোথায় অবস্থিত?,দিল্লি,bn
The Statue of Liberty is known for its history in New York.,What is the Statue of Liberty?,The Statue of Liberty is known for its history in New York.,en
The Eiffel Tower is a famous landmark in Beijing.,What is the Eiffel Tower?,The Eiffel Tower is a famous landmark in Beijing.,en
The Red Fort is located in Rome.,Can you tell me about the Red Fort?,The Red Fort is located in Rome.,en
লাল কেল্লা অবস্থিত দিল্লি।,লাল কেল্লা কি?,লাল কেল্লা অবস্থিত দিল্লি।,bn
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত মস্কো।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন এর ইতিহাসের জন্য পরিচিত মস্কো।,bn
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,অপেরা হাউস বিশেষ কী?,অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত মস্কো।,স্ট্যাচু অফ লিবার্টি সম্পর্কে কিছু বলুন।,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত মস্কো।,bn
The Kremlin is known for its history in Delhi.,Where is the Kremlin?,Delhi,en
স্ট্যাচু অফ লিবার্টি একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,স্ট্যাচু অফ লিবার্টি কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
The Eiffel Tower is a famous landmark in London.,What makes the Eiffel Tower special?,The Eiffel Tower is a famous landmark in London.,en
ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,bn
The Statue of Liberty is known for its history in Moscow.,What makes the Statue of Liberty special?,The Statue of Liberty is known for its history in Moscow.,en
কলোসিয়াম অবস্থিত টোকিও।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম অবস্থিত টোকিও।,bn
The Tokyo Tower is one of the most visited places in Paris.,What is the Tokyo Tower?,The Tokyo Tower is one of the most visited places in Paris.,en
The Statue of Liberty is known for its history in Paris.,In which city is the Statue of Liberty located?,Paris,en
The Brandenburg Gate is a tourist attraction in Berlin.,Where is the Brandenburg Gate?,Berlin,en
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
The Brandenburg Gate is one of the most visited places in Beijing.,Where is the Brandenburg Gate?,Beijing,en
ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত রোম।,ব্রান্ডেনবার্গ গেট সম্পর্কে কিছু বলুন।,ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত রোম।,bn
The Eiffel Tower is located in Rome.,What is the Eiffel Tower?,The Eiffel Tower is located in Rome.,en
The Tokyo Tower is located in Sydney.,In which city is the Tokyo Tower located?,Sydney,en
The Colosseum is a famous landmark in Sydney.,What makes the Colosseum special?,The Colosseum is a famous landmark in Sydney.,en
কলোসিয়াম একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,কলোসিয়াম বিশেষ কী?,কলোসিয়াম একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,bn
ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,ব্রান্ডেনবার্গ গেট কেন বিখ্যাত?,ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,bn
ব্রান্ডেনবার্গ গেট সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,ব্রান্ডেনবার্গ গেট কি?,ব্রান্ডেনবার্গ গেট সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,bn
বিগ বেন অবস্থিত বার্লিন।,বিগ বেন কোথায় অবস্থিত?,বার্লিন,bn
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত লন্ডন।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,লন্ডন,bn
দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,দ্য গ্রেট ওয়াল সম্পর্কে কিছু বলুন।,দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,লাল কেল্লা কোন শহরে অবস্থিত?,সিডনি,bn
The Brandenburg Gate is one of the most visited places in New York.,In which city is the Brandenburg Gate located?,New York,en
দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,দ্য গ্রেট ওয়াল কেন বিখ্যাত?,দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
The Big Ben is known for its history in Sydney.,Where is the Big Ben?,Sydney,en
The Big Ben is one of the most visited places in Paris.,What is the Big Ben?,The Big Ben is one of the most visited places in Paris.,en
অপেরা হাউস অবস্থিত প্যারিস।,অপেরা হাউস বিশেষ কী?,অপেরা হাউস অবস্থিত প্যারিস।,bn
The Big Ben is a famous landmark in Rome.,What makes the Big Ben special?,The Big Ben is a famous landmark in Rome.,en
The Kremlin is known for its history in Moscow.,What is the Kremlin?,The Kremlin is known for its history in Moscow.,en
অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,অপেরা হাউস সম্পর্কে কিছু বলুন।,অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,bn
The Big Ben is located in Sydney.,In which city is the Big Ben located?,Sydney,en
অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,অপেরা হাউস সম্পর্কে কিছু বলুন।,অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,bn
The Tokyo Tower is one of the most visited places in Tokyo.,In which city is the Tokyo Tower located?,Tokyo,en
ব্রান্ডেনবার্গ গেট অবস্থিত প্যারিস।,ব্রান্ডেনবার্গ গেট কেন বিখ্যাত?,ব্রান্ডেনবার্গ গেট অবস্থিত প্যারিস।,bn
The Kremlin is a tourist attraction in Beijing.,Can you tell me about the Kremlin?,The Kremlin is a tourist attraction in Beijing.,en
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,টোকিও টাওয়ার কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,লাল কেল্লা সম্পর্কে কিছু বলুন।,লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,bn
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত সিডনি।,স্ট্যাচু অফ লিবার্টি কেন বিখ্যাত?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত সিডনি।,bn
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,স্ট্যাচু অফ লিবার্টি কি?,স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,bn
The Statue of Liberty is known for its history in Tokyo.,Where is the Statue of Liberty?,Tokyo,en
The Big Ben is known for its history in Paris.,Can you tell me about the Big Ben?,The Big Ben is known for its history in Paris.,en
The Tokyo Tower is one of the most visited places in Tokyo.,Can you tell me about the Tokyo Tower?,The Tokyo Tower is one of the most visited places in Tokyo.,en
The Opera House is located in Delhi.,What is the Opera House?,The Opera House is located in Delhi.,en
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,টোকিও টাওয়ার কি?,টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,bn
টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত বেইজিং।,টোকিও টাওয়ার বিশেষ কী?,টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত বেইজিং।,bn
কলোসিয়াম অবস্থিত প্যারিস।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম অবস্থিত প্যারিস।,bn
দ্য গ্রেট ওয়াল অবস্থিত মস্কো।,দ্য গ্রেট ওয়াল বিশেষ কী?,দ্য গ্রেট ওয়াল অবস্থিত মস্কো।,bn
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,স্ট্যাচু অফ লিবার্টি কেন বিখ্যাত?,স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,bn
The Eiffel Tower is a famous landmark in London.,Can you tell me about the Eiffel Tower?,The Eiffel Tower is a famous landmark in London.,en
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,আইফেল টাওয়ার কেন বিখ্যাত?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
The Big Ben is known for its history in London.,Why is the Big Ben famous?,The Big Ben is known for its history in London.,en
The Eiffel Tower is located in Tokyo.,In which city is the Eiffel Tower located?,Tokyo,en
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,স্ট্যাচু অফ লিবার্টি কোথায় অবস্থিত?,লন্ডন,bn
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,বিগ বেন কেন বিখ্যাত?,বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,bn
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি দিল্লি।,অপেরা হাউস কোন শহরে অবস্থিত?,দিল্লি,bn
The Kremlin is located in Berlin.,Why is the Kremlin famous?,The Kremlin is located in Berlin.,en
ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,ব্রান্ডেনবার্গ গেট কি?,ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,bn
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি প্যারিস।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,প্যারিস,bn
বিগ বেন অবস্থিত বার্লিন।,বিগ বেন কোন শহরে অবস্থিত?,বার্লিন,bn
The Great Wall is a tourist attraction in London.,Can you tell me about the Great Wall?,The Great Wall is a tourist attraction in London.,en
The Statue of Liberty is known for its history in Berlin.,In which city is the Statue of Liberty located?,Berlin,en
দ্য গ্রেট ওয়াল অবস্থিত টোকিও।,দ্য গ্রেট ওয়াল সম্পর্কে কিছু বলুন।,দ্য গ্রেট ওয়াল অবস্থিত টোকিও।,bn
The Great Wall is a famous landmark in Tokyo.,In which city is the Great Wall located?,Tokyo,en
The Opera House is a famous landmark in Rome.,What is the Opera House?,The Opera House is a famous landmark in Rome.,en
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত টোকিও।,স্ট্যাচু অফ লিবার্টি বিশেষ কী?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত টোকিও।,bn
The Red Fort is located in Paris.,Can you tell me about the Red Fort?,The Red Fort is located in Paris.,en
বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত প্যারিস।,বিগ বেন বিশেষ কী?,বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত প্যারিস।,bn
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,bn
ক্রেমলিন অবস্থিত বেইজিং।,ক্রেমলিন কি?,ক্রেমলিন অবস্থিত বেইজিং।,bn
The Big Ben is located in Moscow.,What makes the Big Ben special?,The Big Ben is located in Moscow.,en
আইফেল টাওয়ার অবস্থিত সিডনি।,আইফেল টাওয়ার কোন শহরে অবস্থিত?,সিডনি,bn
The Colosseum is known for its history in Paris.,Why is the Colosseum famous?,The Colosseum is known for its history in Paris.,en
The Great Wall is located in Beijing.,What is the Great Wall?,The Great Wall is located in Beijing.,en
The Tokyo Tower is a tourist attraction in Beijing.,What makes the Tokyo Tower special?,The Tokyo Tower is a tourist attraction in Beijing.,en
The Statue of Liberty is one of the most visited places in Moscow.,Where is the Statue of Liberty?,Moscow,en
বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,বিগ বেন কোথায় অবস্থিত?,দিল্লি,bn
The Big Ben is a tourist attraction in Delhi.,Why is the Big Ben famous?,The Big Ben is a tourist attraction in Delhi.,en
The Opera House is a tourist attraction in New York.,Can you tell me about the Opera House?,The Opera House is a tourist attraction in New York.,en
The Kremlin is located in Berlin.,What is the Kremlin?,The Kremlin is located in Berlin.,en
লাল কেল্লা অবস্থিত নিউ ইয়র্ক।,লাল কেল্লা কোন শহরে অবস্থিত?,নিউ ইয়র্ক,bn
কলোসিয়াম এর ইতিহাসের জন্য পরিচিত সিডনি।,কলোসিয়াম কোন শহরে অবস্থিত?,সিডনি,bn
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,সিডনি,bn
The Opera House is a tourist attraction in Delhi.,Why is the Opera House famous?,The Opera House is a tourist attraction in Delhi.,en
The Opera House is located in Rome.,Where is the Opera House?,Rome,en
The Statue of Liberty is located in Tokyo.,Can you tell me about the Statue of Liberty?,The Statue of Liberty is located in Tokyo.,en
The Tokyo Tower is a famous landmark in Delhi.,Where is the Tokyo Tower?,Delhi,en
The Red Fort is a tourist attraction in New York.,What makes the Red Fort special?,The Red Fort is a tourist attraction in New York.,en
The Tokyo Tower is one of the most visited places in Tokyo.,What is the Tokyo Tower?,The Tokyo Tower is one of the most visited places in Tokyo.,en
বিগ বেন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,বিগ বেন সম্পর্কে কিছু বলুন।,বিগ বেন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,bn
ব্রান্ডেনবার্গ গেট সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি দিল্লি।,ব্রান্ডেনবার্গ গেট কোন শহরে অবস্থিত?,দিল্লি,bn
আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,আইফেল টাওয়ার কোথায় অবস্থিত?,টোকিও,bn
কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,bn
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,ক্রেমলিন কি?,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,bn
বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,বিগ বেন বিশেষ কী?,বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,bn
The Kremlin is one of the most visited places in Rome.,What makes the Kremlin special?,The Kremlin is one of the most visited places in Rome.,en
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,ক্রেমলিন কোথায় অবস্থিত?,টোকিও,bn
